nama_pengulas,ulasan,rating,nama_gerai,text_clean,word_count,sentiment,aspek_rasa,sentimen_rasa,aspek_harga,sentimen_harga,aspek_pelayanan,sentimen_pelayanan,aspek_kecepatan,sentimen_kecepatan,aspek_kebersihan,sentimen_kebersihan,aspek_stok,sentimen_stok,aspek_aplikasi,sentimen_aplikasi,rating_num
nabilaa aulia,"rasa kopi nya enak seperti kopken pada biasanya, tempatnya juga luas & nyaman , di tambah barista'nya asik2 terutama mas yang pake kacamata HAHAHA Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,kopi nya enak kopken tempat luas nyaman baristanya asik mas pakai kacamata hahaha,13,positive,1,negative,0,None,1,positive,0,None,1,positive,0,None,0,None,5.0
Hanin Nafisa,"nyebelin bgt mas masnya, br dtg blg mau pickup trs lgsg “disana kak” abis itu lgsg sibuk lg tanpa diarahin wkwkwkwk mana kopinya ga berasa ky biasanya padahal gue beli kopken ga sekali dua kali. bahkan hampir tiapari. ga lagi2 deeh😔 … Lainnya",3 bintang,KopiKenangan-PosPengumbenJakartaBarat,nyebelin banget mas mas bilang pickup sana kak habis sibuk diarahin wkwkwkwk kopi ga asa beli kopken ga hampir tiapari ga deeh,22,neutral,1,negative,0,None,1,negative,0,None,0,None,1,negative,1,negative,3.0
Aku Siapa,Akhirnya ketemu barista mas dean lagi setelah sekian lama tidak bertemu di kenangan heritage jdi sering2 mampir kesini deh deket dengan rumah juga.tdk pernah berubah dari dulu coffee buatannya 👍👍 … Lainnya,5 bintang,KopiKenangan-PosPengumbenJakartaBarat,ketemu barista mas dean kenang heritage mampir kesini deh deket rumah jugatdk ubah coffee buat,15,positive,1,negative,0,None,1,negative,0,None,0,None,0,None,0,None,5.0
Bahar Rudin,Orderan udah ada setengah jam lebih saya shopee food cuma nggak dibikin-bikinin padahal double order kopi kenangan duluan Hokben kitchen belakangan Hokben udah lama Eh kopi kenangan malah belum lebih lama lagi udah gitu Ada makanan atau … Lainnya,1 bintang,KopiKenangan-PosPengumbenJakartaBarat,order jam shopee food dibikinbikinin double order kopi kenang duluan hokben kitchen hokben eh kopi kenang makan,17,negative,1,negative,0,None,0,None,1,negative,0,None,0,None,1,negative,1.0
Reditia Arzeli,"Rasa kopken yg disini beda bgt sm yg di tempat lain. Biasa beli less sugar, tp disini malah strong bgt manis susunya (malah kopinya gak berasa). Awal2 mikir mungkin barista nya lagi salah takaran. Tp ternyata beli beberapa kali selalu kyk gt, rasanya beda bgt sm yg ruko lain. Kalau yg suka kopken pasti setuju & tau beda nya. Lainnya",1 bintang,KopiKenangan-PosPengumbenJakartaBarat,kopken sini beda banget sm beli sugar sini strong banget manis susu kopi gak asa awal mikir mungkin barista nya salah takar beli beda banget sm rumah toko suka kopken tuju beda nya,33,negative,1,negative,0,None,1,negative,0,None,0,None,0,None,0,None,1.0
jihan haris,"Yaampun beli Americano encer bgttt kaya udh sisaan, warna Americano ga pekat dan rasa nya aneh bgt jdnya, mungkin bisa ditingkatin lg yaa kualitas kopi nyaa kasiann baru buka udh begini pelayanan nyaa, utk sayaa yg pertama kali coba kesana … Lainnya",1 bintang,KopiKenangan-PosPengumbenJakartaBarat,yaampun beli americano encer bgttt kaya udh sisa warna americano ga pekat nya aneh banget jdnya mungkin ditingkatin yaa kualitas kopi nyaa kasiann buka udh layan nyaa sayaa coba kesana,30,negative,1,negative,0,None,1,positive,0,None,0,None,0,None,0,None,1.0
Ageng Siti,"suasana chill bgt baristanya kocak tbl tbl tbl
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,suasana chill banget baristanya kocak tbl tbl tbl makan,9,positive,0,None,0,None,1,positive,0,None,1,positive,0,None,0,None,5.0
mia ssktama,"Tempatnya nyaman, luas, bersih dan pelayanannya ramah. Parkir luasss",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat nyaman luas bersih layan ramah parkir luasss,8,positive,0,None,0,None,1,negative,0,None,1,positive,0,None,0,None,5.0
Raqhi JV,"bersih, makananya fresh, dan pelayanan oke
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,bersih makananya fresh layan oke makan,6,positive,0,None,0,None,1,positive,0,None,1,neutral,0,None,0,None,5.0
yuni nathalie,"Enak buat nongki sndr or sm temen tempatnya luas dan bersih
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,enak nongki sndr or sm teman tempat luas bersih makan,10,positive,1,neutral,0,None,0,None,0,None,1,neutral,0,None,0,None,5.0
Achmad Fadillah,"Barista nya ramah dan makanan enak + suasana tempat nya oke banget
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,barista nya ramah makan enak suasana nya oke banget makan,10,positive,1,neutral,0,None,1,neutral,0,None,1,neutral,0,None,0,None,5.0
Tri Nova,"Pelayanan barista oke
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,layan barista oke makan layan,5,positive,0,None,0,None,1,positive,0,None,0,None,0,None,0,None,5.0
eka amalia,"Beli canele,croisant,dan roti coklat minta dipanaskan sama sekali ga panas bahkan coklat msh beku dingin,kasir dan barista tdk ada senyum sama sekali kalah dg coffee shop² lain yg berlomba² dlm pelayanan apa lg samping nya Bagi Kopi yg sdh rame dr dulu kalau begini trs yakin bakal tertinggal dr coffee shop lain toling diperhatikan Lainnya",2 bintang,KopiKenangan-PosPengumbenJakartaBarat,beli canelecroisantdan roti coklat panas ga panas coklat beku dinginkasir barista senyum kalah dg coffee shop lomba dlm layan samping nya kopi sdh ramai dr tinggal dr coffee shop toling perhati,31,negative,1,negative,0,None,1,negative,0,None,1,negative,0,None,0,None,2.0
Luthfi Attha,"tempatnya enak, luas, creamy aren lattenya enak banget, pokoknya top deh
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat enak luas creamy aren lattenya enak banget pokok top deh makan,12,positive,1,negative,0,None,0,None,0,None,1,negative,0,None,0,None,5.0
sltnsirzishky,"tiap hari di mari jozzjezz lah
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,mari jozzjezz makan,3,positive,0,None,0,None,0,None,0,None,0,None,0,None,0,None,5.0
jian ramadhan,"itu tolong tukang parkirnya dong duh, saya dtg parkiran cukup penuh dan butuh beberapa lama buat cari sampe harus geser2 mtr lain sendiri, si tukang parkir cm ngeliatin dari jauh duduk ngerokok dan ketawa2 sm tmn nya ga bantuin samsek, pas … Lainnya",3 bintang,KopiKenangan-PosPengumbenJakartaBarat,tukang parkir aduh parkir penuh butuh cari geser mtr si tukang parkir cm ngeliatin duduk ngerokok ketawa sm tmn nya ga bantuin sama sekali pas,25,neutral,1,negative,1,positive,0,None,0,None,0,None,0,None,0,None,3.0
Naufal Satria,Bintang 1 dulu deh. Tukang parkir atau preman itu? Ga bantuin keluarin motor tapi ngehadang di depan. Pas mau keuar ke jalan raya pun ga dibantu arahin. Sekelas brand gede takut nih sama preman? Lainnya,1 bintang,KopiKenangan-PosPengumbenJakartaBarat,bintang deh tukang parkir preman ga bantuin keluarin motor ngehadang pas uar jalan raya ga bantu arahin kelas brand gede takut preman,22,negative,0,None,1,positive,0,None,0,None,0,None,0,None,0,None,1.0
Muhammad Dava Adian Mesa,"parkiran nya luas, tempat indoor outdoor juga nyaman untuk nongkrong, AC nya dingin betul. Overall bagus tempatnya Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,parkir nya luas indoor outdoor nyaman nongkrong ac nya dingin overall bagus tempat,13,positive,1,negative,0,None,0,None,0,None,1,negative,1,positive,0,None,5.0
Dimas Rifqi Putra Jaelany,"abil dan nasril asik diajak ngobrol, overall pelayanan good!
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,abil nasril asik ajak ngobrol overall layan good makan,9,positive,0,None,0,None,1,positive,0,None,0,None,0,None,0,None,5.0
Salsa Arsa,"Ramah barista and luas juga asik di buat nongkrong
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,ramah barista and luas asik nongkrong makan,7,positive,0,None,0,None,1,positive,0,None,0,None,0,None,0,None,5.0
Rizky Maulana Ibrohim,"Makanan nya enak dan promonya mantap
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,makan nya enak promonya mantap pesan makan,7,positive,1,positive,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Liam,"semoga wifi nya bisa lebih kenceng yaa, sisanya bintang 5
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,moga wifi nya kenceng yaa sisa bintang makan,8,positive,0,None,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Selly Anggraeni,Pelayanan nya gercep the best lah pokonya,5 bintang,KopiKenangan-PosPengumbenJakartaBarat,layan nya gercep best poko,5,positive,1,positive,0,None,1,positive,1,positive,0,None,0,None,0,None,5.0
allegraputri anshoryye,"gajelas frappe nya ga kayak kopen tempat lain.
Makanan: 1",1 bintang,KopiKenangan-PosPengumbenJakartaBarat,gajelas frappe nya ga kayak kopen makan,7,negative,0,None,0,None,0,None,0,None,0,None,0,None,1,negative,1.0
Hy Hans,"btw thanks ya udah gw liat lu dah review
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,ngomong-ngomong terima kasih iya lihat deh review makan,8,positive,0,None,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Fadia Nurrizki utari,"Tempat nya nyaman dan santai
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,nya nyaman santai makan,4,positive,0,None,0,None,0,None,0,None,1,positive,0,None,0,None,5.0
Naufal Fauzan,"sepertinya kurang pegawai, pelayanan jadi agak lambat
Jenis pesanan
Bawa…
Lainnya",4 bintang,KopiKenangan-PosPengumbenJakartaBarat,pegawai layan agak lambat pesan bawa,6,positive,1,neutral,0,None,1,positive,1,positive,0,None,0,None,1,neutral,4.0
Nabila Lailinajma,"service oke, makanan dan minuman oke, ambience oke
Jenis pesanan
Makan d…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,service oke makan minum oke ambience oke pesan makan,9,positive,1,positive,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Gilang Perdana Putra,"Colokan listriknya kurang banyak ☹️
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang,KopiKenangan-PosPengumbenJakartaBarat,colok listrik pesan makan,4,positive,1,neutral,0,None,0,None,0,None,1,negative,0,None,1,neutral,4.0
Citha Ahmad Pauzi,"Nyaman banget tempatnya
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,nyaman banget tempat makan,4,positive,0,None,0,None,0,None,0,None,1,positive,0,None,0,None,5.0
daviq muklison,"Nyaman
Makanan: 4
Layanan: 4…
Lainnya",4 bintang,KopiKenangan-PosPengumbenJakartaBarat,nyaman makan layan,3,positive,0,None,0,None,1,neutral,0,None,1,positive,0,None,0,None,4.0
rani astuti,"Makanan, minuman semuanya enak
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,makan minum enak makan,4,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Dewi Ariyani,"Suka banget sama kopi buatan baristanya
Makanan: 4…
Lainnya",4 bintang,KopiKenangan-PosPengumbenJakartaBarat,suka banget kopi buat baristanya makan,6,positive,1,positive,0,None,1,positive,0,None,0,None,0,None,0,None,4.0
Sydney Hamid,"Ga seenak dulu, skrng b bgt klo dibanding brand lain",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,ga enak skrng b banget banding brand,7,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
risky dinata,"saya suka produknya dan pelayanan nya ramah ramah
Jenis pesanan
Makan di…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,suka produk layan nya ramah ramah pesan makan,8,positive,1,neutral,0,None,1,negative,0,None,0,None,0,None,1,neutral,5.0
Hanesya Silviana,"Tempatnya nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat nyaman makan layan,4,positive,0,None,0,None,1,neutral,0,None,1,positive,0,None,0,None,5.0
nayla ramandha,"tempatnya nyaman
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat nyaman makan layan,4,positive,0,None,0,None,1,neutral,0,None,1,positive,0,None,0,None,5.0
Muhammad Khadafi,"tempatnya bagus, suasananya nyaman utk tugas, untuk nongkrong
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat bagus suasana nyaman tugas nongkrong makan,7,positive,0,None,0,None,0,None,0,None,1,negative,0,None,0,None,5.0
caramel lia,"enakk bangett nyamann, trus dinginn, lagunya asik” dan staffnya ramah bangett, parkiran luas, toilet, semuanya bersih Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,enakk bangett nyamann trus dinginn lagu asik staffnya ramah bangett parkir luas toilet bersih,14,positive,0,None,0,None,1,negative,0,None,1,negative,0,None,0,None,5.0
Nazwa Kamilah,"baguss
Makanan: 5
Layanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,baguss makan layan,3,positive,0,None,0,None,1,neutral,0,None,0,None,0,None,0,None,5.0
Dewi Chotijah,"Mantap bgtt kopken pos pengumben pelayanan nya bagus gercep smuaa
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,mantap bgtt kopken pos pengumben layan nya bagus gercep smuaa makan,11,positive,0,None,0,None,1,positive,0,None,0,None,0,None,0,None,5.0
S. Five,"tempat nya nyaman stafnya baik
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,nya nyaman staf makan,4,positive,0,None,0,None,0,None,0,None,1,neutral,0,None,0,None,5.0
salma kamilia,"Tempatnya nyaman & rasa kopinya berasa
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat nyaman kopi asa makan,5,positive,1,neutral,0,None,0,None,0,None,1,neutral,0,None,0,None,5.0
wid hutagalung,"mantapp dah
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,mantapp deh makan layan,4,positive,0,None,0,None,1,neutral,0,None,0,None,0,None,1,negative,5.0
queena rahma,"tempatnya cozy, 24 jam, free wifi, colokan, ac nya dingin
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat cozy jam free wifi colok ac nya dingin makan,10,positive,1,negative,0,None,0,None,1,neutral,1,negative,0,None,0,None,5.0
jenni,"tempat nongs ternyamaann!!! perfect dan dingin bgttt, murce juga, recommended bangett ❤️🫰🏻 …
Jenis pe…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,nongs ternyamaann perfect dingin bgttt murce recommended bangett pe,9,positive,1,negative,0,None,0,None,0,None,1,negative,0,None,0,None,5.0
rono,"mantap pelayanannya cepat
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,mantap layan cepat makan,4,positive,0,None,0,None,1,positive,1,positive,0,None,0,None,0,None,5.0
Natha Niel,"Aku suka banget sama pelayanan nya apalagi dilayanin yang namanya mas Fauzi
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,suka banget layan nya dilayanin nama mas fauzi pesan,9,positive,1,neutral,0,None,1,neutral,0,None,0,None,0,None,1,neutral,5.0
Sefielda Putri,"tempatnya nyaman bersih, pelayanannya juga oke bangetttttt
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat nyaman bersih layan oke bangetttttt pesan,7,positive,1,neutral,0,None,1,positive,0,None,1,positive,0,None,1,neutral,5.0
Mukti Fadhil,"tempatnya nyaman, bersih, pelayanan cepat, parkiran luas
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat nyaman bersih layan cepat parkir luas makan,8,positive,0,None,0,None,1,neutral,1,neutral,1,positive,0,None,0,None,5.0
Belina Trisna Ayu Dianingrum,"tempatnya nyaman banget, kaka pegawainya asik betull, tapi ac nya dingin banget😭👍👍👍 pokoknya bestt bangettt kopken cabang di pengumben !! … Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat nyaman banget kakak pegawai asik betull ac nya dingin banget pokok bestt bangettt kopken cabang pengumben,17,positive,1,negative,0,None,0,None,0,None,1,neutral,0,None,0,None,5.0
Diva Saraswati Hassan,"tempatnya cozy, masnya seru n ramahhh!!😎🤟🏻🤟🏻 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat cozy mas seru ramahhh makan,6,positive,0,None,0,None,1,negative,0,None,1,neutral,0,None,0,None,5.0
Andy Syafar,"Saya suka ngopi di kopken pos pengumben
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,suka ngopi kopken pos pengumben pesan makan,7,positive,1,neutral,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Tripsunyi _,"Kopi nya enak dan karyawan nya ramah ramah
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,kopi nya enak karyawan nya ramah ramah pesan makan,9,positive,1,negative,0,None,1,negative,0,None,0,None,0,None,1,neutral,5.0
Meli Saputri,"Temat nya bersih dan nyaman
Jenis pesanan
Makan di tempat…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,temat nya bersih nyaman pesan makan,6,positive,1,neutral,0,None,0,None,0,None,1,positive,0,None,1,neutral,5.0
Mul Yadi,"Pelayanan nya baik, tempat nya bersih dan nyaman
Jenis pesanan
Makan di …
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,layan nya nya bersih nyaman pesan makan,7,positive,1,neutral,0,None,1,positive,0,None,1,positive,0,None,1,neutral,5.0
wisnuaji nugroho,"tempat nya nyaman dan minuman nya top, tapi bener bener rame kalo malem malem kesini sampe ga dapet bangku😭 … Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,nya nyaman minum nya top benar benar ramai malam malam kesini ga bangku,13,positive,1,positive,0,None,0,None,0,None,1,positive,0,None,0,None,5.0
HEAVENLY “HEAVEN” DEMON,"dari segi pelayanan nya oke banget, tempat nya cocok untuk nongkrong brame rame
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,segi layan nya oke banget nya cocok nongkrong brame ramai pesan,11,positive,1,neutral,0,None,1,negative,0,None,0,None,0,None,1,neutral,5.0
Alter Ego,"makanan dan minuman nya enak
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,makan minum nya enak makan,5,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Aprilia Maulidiana,"tempatnya nyaman, apalagi kalo weekdays engga terlalu ramai, barista nya juga ramah ramah semua
Makanan:…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat nyaman weekdays engga ramai barista nya ramah ramah makan,10,positive,0,None,0,None,1,negative,0,None,1,positive,0,None,0,None,5.0
Hlx Xol,"rekomend buat anak anak muda maupun tua bisa cobain nongkrong di sini
Jenis pesanan…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,rekomend anak anak muda tua cobain nongkrong pesan,8,positive,1,neutral,0,None,0,None,0,None,0,None,0,None,1,neutral,5.0
Najwa Azira,"sudah oke dan bagus tapi kurang colokan
Jenis pesanan
Makan di tempat…
Lainnya",4 bintang,KopiKenangan-PosPengumbenJakartaBarat,oke bagus colok pesan makan,5,positive,1,neutral,0,None,0,None,0,None,1,negative,0,None,1,neutral,4.0
Azizah Azibran,"Kopi enak dan bagus tempat nya
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,kopi enak bagus nya makan,5,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Irgy Ahmad,Kopinya enak Dan tempatnya nyaman,5 bintang,KopiKenangan-PosPengumbenJakartaBarat,kopi enak tempat nyaman,4,positive,1,neutral,0,None,0,None,0,None,1,neutral,0,None,0,None,5.0
Mutiara Amelia,"So far pelayanan nya oke. Segi tempat pun comfy cocok untuk santai ataupun WFC. Recommended.
Makanan:…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,so far layan nya oke segi comfy cocok santai wfc recommended makan,12,positive,0,None,0,None,1,positive,0,None,1,negative,0,None,0,None,5.0
Tiarani Nazilah,"tempatnya pw banget, asik, nyaman lah pokoknya
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat posisi nyaman banget asik nyaman pokok makan,8,positive,0,None,0,None,0,None,0,None,1,positive,0,None,0,None,5.0
reayovita backup,"over all aman semua dan enak rasanya
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,over all aman enak makan,5,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
nadia mulkii,"rasanya enak dan konsisten
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,enak konsisten makan,3,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Achmad Fadillah,"kopinya enak, baristanya asik dan ramah, rasanya juga konsisten
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,kopi enak baristanya asik ramah konsisten makan,7,positive,1,negative,0,None,1,positive,0,None,0,None,0,None,0,None,5.0
nabila sputri,"tempatnya luas bgt, enak buat nongkrong lama lama, baristnya ramah juga
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat luas banget enak nongkrong baristnya ramah makan,8,positive,1,negative,0,None,1,negative,0,None,1,positive,0,None,0,None,5.0
Asri Sri,"cobain menu baru kopken thai tea gula aren, baristanya sabar bgt jelasin promo dan potongannya brpnya. tmptnya jg luas bgt.. Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,cobain menu kopken thai tea gula aren baristanya sabar banget jelasin promo potong brpnya tmptnya luas banget,17,positive,1,positive,1,positive,1,positive,0,None,1,positive,1,neutral,0,None,5.0
Gorengan Subuh cover,"nyaman, bersih banget
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,nyaman bersih banget makan layan,5,positive,0,None,0,None,1,neutral,0,None,1,positive,0,None,0,None,5.0
no name febry,"Nyaman mantull
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,nyaman mantull makan layan,4,positive,0,None,0,None,1,neutral,0,None,1,positive,0,None,0,None,5.0
Haikal ganteng,"rasa kopinya enak,terjangkau
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,kopi enakterjangkau makan,3,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Abdul qodir Jailani,"Suasananya adem dan kopi nya enak
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,suasana adem kopi nya enak makan,6,positive,1,negative,0,None,0,None,0,None,1,negative,0,None,0,None,5.0
Kenzie A Kayana,"Suasananya adem, kopi nya enak, mantep👍 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,suasana adem kopi nya enak mantap makan,7,positive,1,negative,0,None,0,None,0,None,1,neutral,0,None,0,None,5.0
Siti Kholifah,"tempat bagus, makanannya enak
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,bagus makan enak makan,4,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Annisa Ws,"Tempatnya luas, nyaman, banyak stop kontak disini. Cocok buat yang mau wfa atau sekedar nongkrong disini.
Ada smmoking area, toilet dan mushola yang nyaman👍💛 … Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat luas nyaman stop kontak sini cocok wfa nongkrong sini smmoking area toilet mushola nyaman,15,positive,0,None,0,None,0,None,0,None,1,positive,0,None,0,None,5.0
Imams,Tempat nya enak ..parkirnya doang kaga jelas sama anak bocil,5 bintang,KopiKenangan-PosPengumbenJakartaBarat,nya enak parkir doang anak bocil,6,positive,1,negative,0,None,0,None,0,None,0,None,0,None,0,None,5.0
Vi Via,"Bagusss👍👍👍🫶🏻 …
Makanan: 5
Layanan:…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,bagusss makan layan,3,positive,0,None,0,None,1,neutral,0,None,0,None,0,None,0,None,5.0
vie via,"Bagus tempat nya👍👍👍🫶🏻 …
Makanan: 5…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,bagus nya makan,3,positive,0,None,0,None,0,None,0,None,0,None,0,None,0,None,5.0
April Riyani,"Kopi kenangan mantan nya gaenak, rasanya gak konsisten, kadang kopi nya paittt bgtt, kadang manis doang, so sad Lainnya",2 bintang,KopiKenangan-PosPengumbenJakartaBarat,kopi kenang nya gaenak gak konsisten kadang kopi nya paittt bgtt kadang manis doang so sad,16,negative,1,neutral,0,None,0,None,0,None,0,None,0,None,0,None,2.0
Rifqi Nuur Hidayah,tempatnya nyaman apalagi klo kesininya sama kamu,5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat nyaman kesini,3,positive,1,positive,0,None,0,None,0,None,1,positive,0,None,0,None,5.0
Kurniya Indra.,"barista nya baik dan pelayanan nya oke
Jenis pesanan
Bawa pulang…
Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,barista nya layan nya oke pesan bawa pulang,8,positive,1,neutral,0,None,1,positive,0,None,0,None,0,None,1,neutral,5.0
Nell,"Overall seperti layaknya kopi kenangan lain untuk makanan dan pelayanan nya yang oke, tapi untuk yang start dari malam sampai subuh playlist nya agak monoton lagu timur (tdk brmksud rasis) tapi nggak semua orang suka playlist lagu timur terus"" an bisa di sesuaikan dengan lagu pop agar ambience nya nyaman untuk semua pelanggan😁 … Lainnya",3 bintang,KopiKenangan-PosPengumbenJakartaBarat,overall layak kopi kenang makan layan nya oke start malam subuh playlist nya agak monoton lagu timur brmksud ras suka playlist lagu timur an sesuai lagu pop ambience nya nyaman langgan,31,neutral,1,positive,0,None,1,positive,0,None,1,neutral,0,None,0,None,3.0
sidni farhan,"wifi nya lemotttttttt
Makanan: 5
Layanan:…
Lainnya",1 bintang,KopiKenangan-PosPengumbenJakartaBarat,wifi nya lemotttttttt makan layan,5,negative,0,None,0,None,1,neutral,0,None,0,None,0,None,0,None,1.0
kristi yuliani,"Aku udah dua kali ke sini, tempatnya adem, ada smoking area juga di outdoor, ac nya dingin banget, pelayanannya ga lama dan ga cepet juga.. standar lah ya. Sayang banget crew di sini kadang cuma satu, jadinya kek dia keteteran sendiri karna … Lainnya",5 bintang,KopiKenangan-PosPengumbenJakartaBarat,tempat adem smoking area outdoor ac nya dingin banget layan ga ga cepat standar iya sayang banget crew kadang keteter,20,positive,1,negative,0,None,1,negative,1,negative,1,negative,1,negative,0,None,5.0
Fajar likawan,"Ini kan buka 24 jam yaa, kenapa staff nya resah kalo ada cust nongkrong tengah malem. Nyapu / bersih"" meja di banting"" brisik bgt Lainnya",1 bintang,KopiKenangan-PosPengumbenJakartaBarat,kan buka jam yaa staff nya resah cust nongkrong malam nyapu bersih meja banting brisik banget,16,negative,1,negative,0,None,1,negative,1,negative,1,neutral,0,None,0,None,1.0
